added money,本賞金
administration,（薬物）投与
age,年齢
airing,軽めの調教
all weather,オールウェザー、全天候型
allowance,減量
also eligible,補欠馬
anti-clockwise,左回り
appeal,異議申立て
apprentice,見習騎手
artificial,人工素材馬場
assistant trainer,副調教師、調教助手
back straight,向こう正面
back stretch,向こう正面
bandage,肢巻
barn,厩舎、馬舎
barrier,バリアー（スターティングゲートのことも指す）
barrier draw,枠順抽選
barrier trial,バリアートライアル（模擬レース）
bay,鹿毛
be in good form,（馬が）良い状態である
bedding,敷料
bend,コーナー
best form,最高の状態
betting,ベッティング、賭事、勝馬投票
betting handle,発売金
betting ticket,勝馬投票券
bit,ハミ
black,青毛
blacksmith,装蹄師
bleeding,鼻出血
blinding hood,目隠し頭巾
blinker,ブリンカー、遮眼帯
bloodstock,純血種、サラブレッド
bookmaker,ブックメーカー
boots,ブーツ
box,馬房
bracket number,枠番
bracket quinella,枠連
breaking,馴致
breast plate,胸がい
breeches,乗馬ズボン
breeder,繁殖牝馬所有者
breeding farm,生産牧場
breezing,馬なり
bridle,頭絡
broodmare sire,母の父
browband,ブローバンド、額革
brown,青鹿毛
canter,キャンター、駈歩（かけあし）
cheek pieces,チークピーシーズ
chestnut,栗毛
chute,シュート、ポケット
circumference,（馬場の）周囲、一周
claiming race,クレーミング競走
class,競走の格、クラス
clearance,クリアランス（無制裁証明）
clerk of the course,馬場取締委員
clerk of the scales,検量委員
clockwise,右回り
coat colo(u)r,毛色
colic,せん痛
colt,４歳以下の牡馬
consistent horse,安定して好走する馬
contender,対抗馬
country foaled,生産国
cover,種付けする
crop,産駒
dam,母
dark bay,黒鹿毛
dark chestnut,栃栗毛
date of birth[DOB],生年月日
dead heat,同着
decision,判定
declaration,出馬投票
deduction,控除
demotion ,降着
dirt,ダート
dismount,下馬
disqualification,失格
distance,"（１）競走距離
（２）大差"
dividend,配当金
doping test,ドーピング（理化学）検査
draw,ゲート番
drug,薬物
drug test,ドーピング（理化学）検査
ear plug,耳せん
earnings,収得賞金
easy win,楽勝
entrance,入場門
entries,出馬表
entry,登録
entry gate,入場門
epistaxis,鼻出血
equine,馬
equipment,装具
exacta,馬単
exercise,調教、運動
exercise rider,攻馬手
fall,落馬する
farrier,装蹄師
favorite,一番人気馬
feed,飼料
female,牝
field,全出走馬
filly,４歳以下の牝馬
final piece of work,最終追い切り
final straight,ゴール前直線
fine,過怠金
finish line,決勝線
firm,良
first choice,本命
first three horses,上位３頭
fit,仕上がる
fixed odds betting,固定オッズ方式勝馬投票
fixture,開催日割
flat race,平地競走
foal,当歳馬
fodder ,飼料
forage ,飼料
forecast,予想
form,過去競走成績
front runner,先行馬
full-brother,全兄弟
full-sister,全姉妹
furlong,ハロン（201m）
gallop,ギャロップ、襲歩（しゅうほ）
gelding,せん馬
gender,性
girth,腹帯
going,馬場状態
good,良～やや重
grandstand,グランドスタンド
grass,芝
gray,芦毛
grey,芦毛
groom,厩務員
(safety) helmet,保護帽、ヘルメット
half-brother,半兄弟
half-sister,半姉妹
handicap,ハンデキャップ
handicapping,予想
handily,強めの調教
hang in,内にもたれる
hang out,外にもたれる
hay,乾草
head,アタマ
heavy,不良
home straight,ゴール前直線
homestretch,ゴール前直線
hood,メンコ
hoof,蹄
horse,"（１）５歳以上の牡馬
（２）馬"
horse number,馬番
horse racing law,競馬法
horse van,馬運車
horse weighing scale,馬体重計
horse weight,馬体重
horseshoe,蹄鉄
hurdle,ハードル障害（steeplechaseより小さい障害）
inbreeding,近親交配
infection,感染症
inquiry,審議
inside rail,内ラチ
integrity,公正確保
interference,走行妨害
jockey,騎手
judge,決勝審判委員
jump race,障害競走
juvenile,若馬、２歳馬
keen ,行きたがって
keep good position,好位をキープする
